name,dob,password,clearance,pets,snacks
Isa Massey,25/07/1914,Th3Cak31sAL13,admin,stick insects,cake
Asher Roche,09/01/1916,password,guest,horses and chickens,carrots       
Jesse Mair,10/05/1920,eggs3 ,admin,none,healthy snacks
Timur Henry,24/12/1921,iamboredofgeneratingPasswordsNow,guest,dogs,burger and chips
Ioan Hardin,31/01/1923,gjk5463jgdfjkl2tjJSdgjk433t3jksgjkdlj6534,admin,snails,cake
Nayla Lim,11/01/1935,12345,employee,cats,blueberries    
Roxanne Keith,18/06/1937,Sunday,employee,pygmy pigs,fruit    
Laith Gilmore,05/07/1947,  potatoesAndch33se,admin,,
Brielle Fitzgerald,10/12/1975,aardvark23,employee,,cheese
Jaskaran Stamp,24/12/1977,P123assword,employee,sloth,ALL THE SNACKS!!!
Andreas Jimenez,04/01/1979, !Chang3M3!!!,admin,
Vanesa Fleming,15/12/1983,WriteALongSentenceForPasswordHere12345,admin,chinchilla,   sweets
Khadija Brady,15/10/1986,PenguinsAreAwesom333333,employee,,,
Adnan Moyer,19/07/1989, jfdksfl789563ngsSSFGSGS22,admin,chickens,popcorn
Moshe Huang,10/05/1990,I'mBoredOfMakingUpPasswords34,guest,,,
Amelia-Lily Hartman,08/12/1991,^%$&$&%^£"£&*^%£*(,employee,menagerie,crisps
Kirby Ramirez,03/07/1994,12345Sweetcorn6789,guest,,,
Benas Velasquez,26/04/1997,Put1Password2Here3,employee,,,
Conner Barclay,16/02/1999,ChangeMe!!,guest,,,
Tamera Whittington,07/05/2002,FinallyGotToThe3nd,employee,farm,roast dinner


